uid,uof_uid,tracking_id_og,tracking_id,investigation_status,service_type,light_condition,weather_condition,shift_time,disposition,division,division_level,unit,originating_bureau,use_of_force_description,use_of_force_level,use_of_force_effective,age,years_of_service,officer_injured,agency,use_of_force_reason
f41aee3c82cab6ea710b456c6f5ab0d2,5e9ac1ec38b8bfc098cc2db5d92c8556,ftn2017-0512,ce78b230d88d7322f0beafb31a972b3b,Completed,arresting,good,clear conditions,between 7am-3pm,use of force authorized,a platoon,2nd district,patrol,field operations bureau,firearm (exhibited),l1,yes,38,15,No,new-orleans-pd,refused verbal commands
f184c0018e8f145290cbbc0b9a288b29,5e9d7e7858c4317de4e35f736f40dc34,ftn2016-0422,3652b6ddae9ebc6d53f4a7835134d709,Completed,call for service,good,clear conditions,,use of force authorized,day beats,8th district,,field operations bureau,force (escort tech),l1,yes,40,23,No,new-orleans-pd,resisted lawful arrest
5fa29bd8f1b86b527693026bba7028b7,5e9ede851a4918fcd7ea5fc76d80f7a5,ftn2017-0245,b0dc5a1ea45cb83fac5ffb1a76f5907c,Completed,call for service,good,clear conditions,between 7am-3pm,use of force authorized,a platoon,2nd district,patrol,field operations bureau,hands,l1,yes,28,5,No,new-orleans-pd,resisted lawful arrest
18cee54eda8b3c3805fb0e7aafbd1d5e,5eadaad56c8799aab67ed96831584725,ftn2020-0040,c63cc39b414eeb84ff89aab472c8c775,Completed,call for service,good,clear conditions,,use of force justified,b platoon,3rd district,patrol,field operations bureau,takedown (no injury),l1,yes,27,7,No,new-orleans-pd,flight from an officer
37b850c531cdec3716c825e34c03bf33,5eb383e4cf29e1815aed388ed2673eed,ftn2017-0270,0655d0efe81fbc253b3e155f36825889,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force authorized,narcotics,8th district,,field operations bureau,hands,l1,yes,30,7,No,new-orleans-pd,resisted lawful arrest
b00c4fdca1c7e4d6dec3cd4505fdc1a7,5eb93c874bc5f550d3f1bbe49286eb38,ftn2019-0216,3de9eaaaf594a7d6405cd2d5a9cd05b6,Completed,pedestrian stop,good,clear conditions,,use of force justified,,6th district,,field operations bureau,firearm (exhibited),l1,yes,29,5,No,new-orleans-pd,weapon exhibited
6c0e1507f5f3150d6a6972d2eb77587d,5ebbb263d43b3230155e16c9a96f92f6,ftn2017-0469,68f52e419583a653de1b0539be75c86c,Completed,pedestrian stop,good,clear conditions,between 7am-3pm,use of force authorized,k9,special operations,,field operations bureau,firearm (exhibited),l1,yes,46,21,No,new-orleans-pd,other
eb050f743e433b812be0932cd946b5ec,5ebed16896c52e7e28194294b6609781,ftn2019-0098,82afdf3494c7cbc19678d5ef7eaac0fd,Completed,arresting,good,clear conditions,between 7am-3pm,use of force justified,a platoon,1st district,patrol,field operations bureau,firearm (exhibited),l1,yes,34,6,No,new-orleans-pd,weapon exhibited
379e55957b6390f1dfabfe51773a5720,5ec189ac40ad2d83a2b0a056f84697cf,ftn2017-0596,3880634ca07f18396d39297163ab2fb7,Completed,call for service,poor,clear conditions,between 3pm-11pm,use of force authorized,b platoon,2nd district,patrol,field operations bureau,conducted electrical weapon deployment,l2,yes,40,6,No,new-orleans-pd,flight from an officer
4e44684f334770b3803314bfd9f18107,5ed623904137548cf2e110f17ee3cf14,ftn2021-0185,caad80b512f026cd027d0e9bc1cb550b,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,7th district,,field operations bureau,hands,l1,yes,38,14,No,new-orleans-pd,other
1e627908dda6e4daf06d731626847c08,5eddbef3c246701c43b18cafe403e339,ftn2016-0099,88ff48a6de5a2dbccea42a9f8ebbd81d,Completed,arresting,poor,clear conditions,,use of force authorized,b platoon,5th district,,field operations bureau,other,l1,yes,27,8,No,new-orleans-pd,resisted lawful arrest
8bd0647c941272876dc8c243014afad4,5eea6129ef88d755dcb9b77444bdfd95,ftn2017-0278,a9f5939377d8fc3cdbb9ab0b135ace6d,Completed,other,poor,clear conditions,between 11pm-7am,use of force authorized,tactical,7th district,,field operations bureau,conducted electrical weapon,l4,limited,39,11,No,new-orleans-pd,other
259b0676e5148add8189c1ac35d5a493,5ef091a8f481bd42039c1506490f503a,ftn2016-0113,54efb133e590c602e736621229783296,Completed,traffic stop,poor,clear conditions,,use of force authorized,b platoon,3rd district,,field operations bureau,firearm (exhibited),l1,yes,41,14,No,new-orleans-pd,refused verbal commands
3df0ebc6d18b5d5caa0d4ab90e346bd4,5ef245aad720a9708d1f50b6f1228eca,ftn2021-0206,068af0b57e14710343a1d69754480176,Completed,arresting,good,clear conditions,between 11pm-7am,use of force justified,b platoon,8th district,b,field operations bureau,force (escort tech),l1,yes,36,3,No,new-orleans-pd,resisted lawful arrest
830373f40dd81062612e9433eda72fb5,5ef2537f41a80fffe10f546c85dc51d6,ftn2017-0288,6011a12e90e40ee341939471cdc751af,Completed,serving a warrant,poor,clear conditions,,use of force authorized,task force,7th district,,field operations bureau,firearm (exhibited),l1,yes,30,13,No,new-orleans-pd,other
7b61ed4d91725ba3e6cd0ac60116b5a3,5ef8f9aa8059aebf0427f46fc9c581aa,ftn2017-0010,dbba79ed27463de0cf12f1d4ee11b6c7,Completed,serving a warrant,good,clear conditions,,use of force authorized,tactical,special operations,violent offender warrant squad,field operations bureau,firearm (exhibited),l1,yes,33,9,No,new-orleans-pd,resisted lawful arrest
5df7498251af272ef6e33c0a4c141e4d,5efa894e710ff7c871873037b5223386,ftn2017-0509,00e20e9394b40d890c93167ca795f52a,Completed,call for service,poor,clear conditions,between 3pm-11pm,use of force authorized,task force,7th district,,field operations bureau,firearm (exhibited),l1,yes,31,11,No,new-orleans-pd,flight from an officer
8e4992dc784c826eddb724ad2647694a,5f0ae8db084ef8c769c2516bc624c294,ftn2019-0088,3d2681e2c03f4bbe2527693749009402,Completed,call for service,good,clear conditions,between 7am-3pm,use of force not justified,b platoon,3rd district,patrol,field operations bureau,rifle (pointed),l1,yes,46,22,No,new-orleans-pd,resisted officer with weapon
8e97281aa94f1b9a5991521912f4ef93,5f0bb3964375e9647bc9f533d63d36e5,ftn2020-0255,c4d74223d567a8696e7053422d526c5b,Completed,arresting,good,clear conditions,between 7am-3pm,use of force complaint of injury/no reportable force used,tactical,special operations,1st platoon,field operations bureau,firearm (exhibited),l1,yes,32,8,No,new-orleans-pd,tactical deployments
03ecb42900acfefe2e7e1073af7cc836,5f14710842f6f3a712e4cec5b34f109c,ftn2020-0362,e6b6a7691c79a7ca179c57fbeec30d79,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified,b platoon,5th district,patrol,field operations bureau,force (escort tech),l1,yes,30,6,Yes,new-orleans-pd,battery on officer
31821de6e2b65b3e232c727c0bd14098,5f1db85b2beb0ff1bf473228daa9f5c7,ftn2018-0200,5663bdd9d0d36914831179a69f0cd515,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,2nd platoon,1st district,,field operations bureau,firearm (exhibited),l1,yes,35,13,No,new-orleans-pd,weapon exhibited
66a62a489db3a1d1ed5ce194543d9a97,5f4a9173824d583dc07d76d9dba01691,ftn2018-0131,44b729189113ada8a84f3e2495e1a7fd,Completed,traffic stop,poor,clear conditions,between 11pm-7am,use of force justified,c platoon,3rd district,patrol,field operations bureau,firearm (exhibited),l1,yes,43,14,No,new-orleans-pd,flight from an officer
94b543f10e4ba405a7170e121e3ec5c6,5f4aa5ab64c5f4af51c6d6ae732810a1,ftn2016-0278,6572e8c181194d85693a03460b12e57c,Completed,arresting,good,clear conditions,,use of force authorized,narcotics,8th district,,field operations bureau,hands,l1,yes,33,9,No,new-orleans-pd,resisted lawful arrest
1162509b13dd941c1879866ef99d59b3,5f52eb4dc444cb59b036dd38c108f4db,ftn2018-0171,33661fd26e4051ef0ff8b9437e5b1e9a,Completed,traffic stop,good,clear conditions,between 3pm-11pm,use of force authorized,narcotics,2nd district,,field operations bureau,takedown (no injury),l1,yes,28,7,No,new-orleans-pd,refused verbal commands
70b1e8b6239c8e0c2d89d453c52c7c50,5f5c2393309705f05e2f79976a80d6dc,ftn2021-0254,bc8bfca104c674cafb9f97a18a4a5d96,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified,c platoon,5th district,patrol,field operations bureau,takedown (no injury),l1,yes,23,3,Yes,new-orleans-pd,refused verbal commands
7fcf85bdeb29cef4b998f80faff3cc0b,5f5d45bd53bcaa9bbdcd4a66d0994cae,ftn2021-0360,f4691d0ae921569e95c7ab692138768c,Completed,call for service,poor,clear conditions,between 11pm-7am,use of force justified with training,c platoon,3rd district,night watch,field operations bureau,firearm (exhibited),l1,yes,23,2,No,new-orleans-pd,weapon exhibited
ed77cb31a95952efed4c4a83f68471d0,5f6f2d932102aaddc0cf49f787313b82,ftn2016-0398,5e029de9f0044aa3cc5c1e20002217ab,Completed,call for service,poor,other,,use of force authorized,b platoon,5th district,,field operations bureau,hands,l1,yes,28,6,No,new-orleans-pd,refused verbal commands
14b8b33c301f5580041a965e27d1c2e6,5f7cf0cd59992ffc3c409f8e74df5d0e,ftn2017-0316,8fdea7c51cf674b274d9f8f62625fb91,Completed,arresting,good,clear conditions,between 7am-3pm,use of force authorized,1st platoon,1st district,patrol,field operations bureau,conducted electrical weapon exhibited/laser,l1,yes,52,5,No,new-orleans-pd,resisted lawful arrest
697b6586f9193b1dd977a329fc2413d7,5f9e5650a0063b765207e439d77eb0a9,ftn2021-0389,e1938f1af9bcadf6f074345f1bc8b385,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,1st district,patrol,field operations bureau,takedown (no injury),l1,yes,33,6,Yes,new-orleans-pd,resisted lawful arrest
804abae61cb17e1c03693c9d3c94b16f,5faba0c2c5e3b7bc0200fb3fb8de61f9,ftn2016-0152,e50a115fdac082adfebef88728bc9c57,Completed,call for service,good,clear conditions,,use of force authorized,narcotics,5th district,,field operations bureau,firearm (exhibited),l1,yes,32,14,No,new-orleans-pd,resisted officer with weapon
67eaf6b3ba0b71f2c5040fef2fc2ea15,5fc0bd9045a2c7aaf6e9e6a9ea8b2132,ftn2021-0222,2307bcfb0707b728abedb3cf46e848b2,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,5th district,patrol,field operations bureau,firearm (exhibited),l1,yes,39,2,No,new-orleans-pd,resisted lawful arrest
22c507deb5d6269cf25df56d684e3405,5fdfc428dd8863c71134c1e9dbf8fce7,ftn2017-0275,516f5cccdf20a4e9390eeaa4611d7121,Completed,call for service,good,clear conditions,between 7am-3pm,use of force authorized,a platoon,5th district,patrol,field operations bureau,firearm (exhibited),l1,yes,64,43,No,new-orleans-pd,other
82a465e529a538dcfb3121dc002edd11,5ff3484bbf008fd89a9deb6c741e7c61,ftn2017-0261,a70800d3d22834159e132a318ce13eb9,Completed,pedestrian stop,good,clear conditions,between 7am-3pm,use of force authorized,day watch,7th district,patrol,field operations bureau,firearm (exhibited),l1,yes,32,5,No,new-orleans-pd,refused verbal commands
3a9da511df288d2e69bf319551874e58,5ffb961f24f903326bfc50d5f5a1427c,ftn2017-0488,65538cb8e6d9b8d19b4eb2fb013309ad,Completed,serving a warrant,poor,clear conditions,between 11pm-7am,use of force authorized,tactical,special operations,1st platoon,field operations bureau,firearm (exhibited),l1,yes,40,19,No,new-orleans-pd,tactical deployments
af40e0d496a3b44471033a093af32f94,5ffe6409d86a11b8a8b0e9f49c9d4008,ftn2016-0451,e5956aedda547e526ee4c042be750009,Completed,call for service,good,clear conditions,,use of force authorized,a platoon,8th district,,field operations bureau,conducted electrical weapon deployment,l2,yes,35,13,No,new-orleans-pd,refused verbal commands
804abae61cb17e1c03693c9d3c94b16f,600858be8ba016e7432802af7e023a4f,ftn2016-0237,de261e1206bf86408b9867fddbfc7b2e,Completed,arresting,good,clear conditions,,use of force authorized,b platoon,5th district,,field operations bureau,firearm (exhibited),l1,yes,32,14,No,new-orleans-pd,other
804abae61cb17e1c03693c9d3c94b16f,60288f25e8e33c5deb85c4cc501cc63c,ftn2017-0293,686cedc06186e854db2f1c702ec8e814,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force authorized,task force,5th district,,field operations bureau,conducted electrical weapon exhibited/laser,l1,no,33,14,No,new-orleans-pd,refused verbal commands
97220ea82304599222dcded09754f8af,6063f3e031d299a5876b7d6a075172d4,ftn2017-0146,62f5242343052413dfe8ae4fe6f33dcf,Completed,call for service,good,clear conditions,,use of force authorized,b platoon,8th district,,field operations bureau,conducted electrical weapon exhibited/laser,l1,limited,27,6,No,new-orleans-pd,refused verbal commands
5ae774dd3d55d861093c598b9ceb1082,6088dd5ecad2fab53b9d273b4665bc20,ftn2016-0375,c5e24d1cf6a90672e3a47380d67335ce,Completed,arresting,poor,clear conditions,,use of force authorized,k9,special operations,,field operations bureau,firearm (exhibited),l1,no,26,8,No,new-orleans-pd,resisted lawful arrest
5d6fd3dc7820c747c6393ce6ff0f536a,60914935047308da6e90632126293004,ftn2018-0057,4f537da5fe1955f4dd6f4a181c706e0e,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,8th district,,field operations bureau,hands,l1,yes,30,7,No,new-orleans-pd,refused verbal commands
c1155c33f121ff0fb12877b9fbb1de5d,6093b9d6fcb24497d4dbe6e963073eff,ftn2016-0574,4cfd499fbc85700ad91bffae3521ec71,Completed,other,good,other,,use of force authorized,juvenile,criminal investigations,3rd platoon,investigations and support bureau,hands,l1,yes,51,27,No,new-orleans-pd,refused verbal commands
755edd5e7287373d016d884c41994dfa,609fcdc5e1ab36c5bebb1baee13e7ab4,ftn2016-0098,fba417c157e7c28e84177144ee5cbf23,Completed,arresting,poor,clear conditions,,use of force authorized,day watch,7th district,,field operations bureau,firearm (exhibited),l1,yes,42,16,No,new-orleans-pd,resisted officer with weapon
af40e0d496a3b44471033a093af32f94,60a37424548d398ffb86d58130273331,ftn2020-0281,42e90e9ecbd3528700d2b81e702011e1,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,7th district,patrol,field operations bureau,hands,l1,yes,39,13,No,new-orleans-pd,other
006ce7f5725ad54e0f3e50947ecb5b3a,60a6dbbcfd16547f831618f2db755016,ftn2019-0194,01d74ff4e149e468e316240222650fb7,Completed,transport,good,clear conditions,,use of force justified with training,a platoon,5th district,patrol,field operations bureau,takedown (no injury),l1,yes,36,6,Yes,new-orleans-pd,escape
5046839238e950982b7b8744e854c4af,60ae30a22ad98d3552d63b554842fb2e,ftn2018-0026,e0e86ae8521b5f2a9b283b711d83dcca,Completed,arresting,good,clear conditions,between 7am-3pm,use of force authorized,c platoon,8th district,,field operations bureau,hands,l1,no,31,13,No,new-orleans-pd,battery on officer
c913ddbfe99d5cfef25a90199c083877,60bc71939b928449aef4e86b3cfb5e68,ftn2018-0341,a563b8d52fe60e9d5223516aa1bb49e4,Completed,arresting,good,clear conditions,between 11pm-7am,use of force justified,3rd platoon,1st district,patrol,field operations bureau,firearm (exhibited),l1,yes,30,6,No,new-orleans-pd,refused verbal commands
70d1642024c3ab8c0fee3d2b59191a4f,60e15e2fa461e9d20bbcc27fd7a12179,ftn2016-0057,74b0f78399849b6156f4e49adac8f292,Completed,arresting,good,clear conditions,,use of force authorized,a platoon,3rd district,patrol,field operations bureau,firearm (exhibited),l1,yes,40,18,No,new-orleans-pd,resisted lawful arrest
c7f3c51292178bf9e8f5fd66184f41be,60e4ec3b296f8785ecc90977224284b6,ftn2020-0095,f56b30e669e9ef5e9d477818c1c24dc8,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,task force,2nd district,task force a,field operations bureau,conducted electrical weapon deployment,l2,yes,38,15,No,new-orleans-pd,refused verbal commands
9d5a29ccbf83f3e98ae82aa5fca4b227,60ecf0e8f6b5407599a74c7c4c5cfe3c,ftn2018-0466,b19a2eaaecfe19f2aab301bed3be6871,Completed,arresting,good,clear conditions,between 7am-3pm,use of force justified,,6th district,patrol,field operations bureau,firearm (exhibited),l1,no,26,6,No,new-orleans-pd,resisted lawful arrest
2d3c20a690f4e2c7a22a256fab79c887,60ef2613a313fc26eb6312619802f553,ftn2021-0001,9f9142c819519d22bb3ba17e015dabf4,Completed,arresting,good,clear conditions,between 7am-3pm,use of force justified,a platoon,8th district,patrol,field operations bureau,hands,l1,yes,46,23,No,new-orleans-pd,resisted lawful arrest
29f98edd9908e30a3cdcc6cac36b41e1,610804f4fa41ba1274d01453ebeb8ff5,ftn2018-0097,7dd1979e87a9ecec135de1ac82c0a5b7,Completed,call for service,poor,clear conditions,between 3pm-11pm,use of force authorized,evening watch,7th district,patrol,field operations bureau,firearm (exhibited),l1,yes,33,6,No,new-orleans-pd,flight from an officer
a96d3e175a3af1d79397a55f9b71a97b,611dfe37a31ec89f297dbc1d8d368939,ftn2018-0017,7870f24e20372ad732822ba12e4f251f,Completed,arresting,poor,clear conditions,between 11pm-7am,use of force authorized,bourbon promenade,8th district,bourbon street,field operations bureau,hands,l1,no,26,6,No,new-orleans-pd,resisted lawful arrest
80d30cbc17fda97ed1fab64bf8f1dd5c,611e4a02b02bee99717577239353a6af,ftn2016-0244,f7d1535d5ed17c6f585739fbb586234d,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force authorized,8th district,8th district,patrol,field operations bureau,other,l2,yes,35,13,No,new-orleans-pd,resisted lawful arrest
3669274c079ebc1022dba36f20191f96,61273f4a584eb3fec5927d6d6d578f09,ftn2020-0166,c135edcf33c5481fcd5f3dc916f934ad,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,,5th district,,field operations bureau,firearm (exhibited),l1,yes,52,26,No,new-orleans-pd,refused verbal commands
cb82759f623bec1fc12ecf7e3e53282a,612c61956252d15a5007a6be4ae1e48c,ftn2019-0044,8ce187fb878fa4d5a41ef9457f8e9357,Completed,arresting,good,clear conditions,between 7am-3pm,use of force justified,task force,4th district,a,field operations bureau,firearm (exhibited),l1,yes,58,30,No,new-orleans-pd,tactical deployments
40f61ee55d3b278d5efc7383ec3a1b96,61363dd5a79de12133ca9701ee2b1a56,ftn2016-0284,6094e4677f880a0ea76c883f982a3892,Completed,traffic stop,good,clear conditions,between 3pm-11pm,use of force authorized,b platoon,6th district,patrol,field operations bureau,force (escort tech),l1,yes,29,7,No,new-orleans-pd,resisted lawful arrest
e4d999c69f1412b400ba43847b914432,614ee2d9df8e7dd3cf609df9bad7c334,ftn2016-0526,419241e390d6726db3d48c416a310650,Completed,arresting,good,clear conditions,,use of force authorized,street gang unit,special investigations,squad b,investigations and support bureau,hands,l1,yes,41,23,No,new-orleans-pd,resisted lawful arrest
8dabd5898c9cd4ab7925dbc9f585a47c,616720369a5159b19bc2d31ee14cbcb6,ftn2020-0083,d80dd4d1e7f393c7e9ad0184fb1dbcbe,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,,1st district,,field operations bureau,conducted electrical weapon,l4,yes,25,3,No,new-orleans-pd,resisted officer with weapon
6b472dd9e21ce7835048e704e2163b0b,6172899847291afc9b1722b5989ef0e4,ftn2019-0064,163d4c33de284c3c6adb34d110a24d9d,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified with training,b platoon,6th district,patrol,field operations bureau,hands,l1,yes,32,4,No,new-orleans-pd,resisted officer with weapon
2c122137fe1a5d31834e6646bdae9e53,618f0f1ed6218fa2f0bb4fed4012ed70,ftn2018-0196,ad353ff34184a6de74e25d9ec4859976,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified with training,a platoon,2nd district,patrol,field operations bureau,hands,l1,yes,31,6,No,new-orleans-pd,refused verbal commands
9ad304c46930248357ac0d32d3302105,6198192d32e489e8fa321b6017c6cb5d,ftn2021-0226,2fb6dce567e00d076a647f974b1d0f45,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,6th district,patrol,field operations bureau,hands,l1,yes,31,5,No,new-orleans-pd,other
15ba22dd8e69bba9af304e2ba19d0e99,61b6ff8af0341eb4299c9eb3c3c3511b,ftn2019-0161,439443cdfa5722e8bf68302a3f1f65e7,Completed,traffic stop,good,clear conditions,between 3pm-11pm,use of force justified,,1st district,,field operations bureau,takedown (no injury),l1,yes,50,13,No,new-orleans-pd,resisted lawful arrest
b9cf8d87df2873cfa7728c8283824ee8,61c04e2a2d9239b2694974b6cd685b07,ftn2021-0152,c06eb8e14da804db48d59b69181294ea,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified,c platoon,3rd district,patrol,field operations bureau,takedown (no injury),l1,yes,32,12,No,new-orleans-pd,battery on officer
b1e2efab5fdbbbf4cf425b10318c4905,61d8105b96a1e55e07492df7901b7164,ftn2016-0051,16ba73ef175bb88c15e0a25580987b8f,Completed,arresting,good,clear conditions,,use of force authorized,day watch,7th district,patrol,field operations bureau,hands,l1,yes,33,9,No,new-orleans-pd,resisted lawful arrest
ed77cb31a95952efed4c4a83f68471d0,61df80b127f2d404632d53dc8a5903df,ftn2017-0172,b6d6a0877e1bd878395fce2078a0f5d9,Completed,call for service,poor,clear conditions,,use of force authorized,b platoon,5th district,,field operations bureau,firearm (exhibited),l1,yes,29,6,No,new-orleans-pd,other
3802d2ae4047a81fc8b5a62726945f21,61f809437fcd4dbde6e3561327d6d98e,ftn2019-0275,50ccd237ca18da48380f124b7128bf9d,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,day watch,7th district,patrol,field operations bureau,hands,l1,yes,38,18,No,new-orleans-pd,other
c5557754613e0d434eb3ad429c5b60d8,61fa79151beeb97a62dad2f662cfa69a,ftn2017-0510,5e9b14ec6b0765cf3abd1c135f648e93,Completed,arresting,poor,clear conditions,between 11pm-7am,use of force authorized,c platoon,3rd district,,field operations bureau,force (take down),l2,yes,24,5,No,new-orleans-pd,refused verbal commands
9b76a778587e2472e5b7c1b533fd3ee8,6227034429479de480ecacab7f2f27a8,ftn2016-0212,d8e7acdc3d009ed19822922a8c0d2e1a,Completed,arresting,poor,clear conditions,,use of force authorized,narcotics,1st district,,field operations bureau,firearm (exhibited),l1,yes,36,17,No,new-orleans-pd,refused verbal commands
b46890220a5d8c902a52c9b447be374e,624650a90c9210e7cc2fd0de991a90cb,ftn2016-0375,c5e24d1cf6a90672e3a47380d67335ce,Completed,arresting,poor,clear conditions,,use of force authorized,k9,special operations,,field operations bureau,firearm (exhibited),l1,no,38,13,No,new-orleans-pd,resisted lawful arrest
d6119d3a92c39b75b1578a7800210e57,6254c2b4b42f84d80103ccfd5ec0df4b,ftn2021-0011,7d012f480f023f6ba00ddbe701ff337c,Completed,serving a warrant,good,clear conditions,between 7am-3pm,use of force justified,narcotics,special investigations,,investigations and support bureau,firearm (exhibited),l1,yes,39,13,No,new-orleans-pd,tactical deployments
13d5ef70954980f90f0d5ca75c1fee3a,6265a8a8bf640aca00e9f1daf2237a73,ftn2016-0466,9f64caaf2059bbed9e1da39c599d9aa7,Completed,serving a warrant,good,clear conditions,,use of force authorized,tactical,special operations,violent offender warrant squad,field operations bureau,firearm (exhibited),l1,no,42,21,No,new-orleans-pd,other
146e167efb7a3acc83eeeff513ccfa5f,627e88de94557ef6fe1d10c3a892b700,ftn2018-0355,d5cdca0cadff921b7baa6b2c840fd959,Completed,call for service,good,other,between 3pm-11pm,use of force justified,evening watch,7th district,patrol,field operations bureau,takedown (with injury),l2,yes,22,4,No,new-orleans-pd,flight from an officer
45febdde2fcbdca1c71eb5c39d45d754,628181f391dda8f181746551d8468eef,ftn2016-0426,f9b9db6854d12173ee1565100fc34430,Completed,pedestrian stop,poor,clear conditions,,use of force authorized,,6th district,,field operations bureau,firearm (exhibited),l1,yes,47,14,No,new-orleans-pd,other
89c73d6ffd90204f7ea267a5be4b95e6,62bb50da71affc1ac168ba0ea9a2d098,ftn2016-0508,f4c9e6fcf9ec59a610ad0166e194f4bd,Completed,other,good,clear conditions,,use of force authorized,bourbon promenade,8th district,patrol,field operations bureau,other,l1,yes,47,30,No,new-orleans-pd,resisted lawful arrest
6f04d9d91bfffe632b926b369cd3c5f6,62bc644de4b04f4e0659668f68eacd58,ftn2016-0234,3df95b29922a2e491d3c1fd5dd527013,Completed,call for service,good,clear conditions,,use of force authorized,a platoon,3rd district,,field operations bureau,firearm (exhibited),l1,yes,60,19,No,new-orleans-pd,other
41b4223b61ecf5ebb270686ce1cc1257,62c5a11e8bd061dc3a53e97d001f2023,ftn2016-0297,05ace38af073e083514b167e25cc91a7,Completed,arresting,good,clear conditions,,use of force authorized,day watch,7th district,,field operations bureau,hands,l1,yes,34,18,No,new-orleans-pd,escape
6fdd9bfce56a8a5d5dd2cb64fab77316,62c8685c18c85189e7fd9688be22dfe4,ftn2021-0142,70edf944ff203ccdd4b11b37f2d70c25,Completed,call for service,poor,clear conditions,between 11pm-7am,use of force justified,c platoon,7th district,patrol,field operations bureau,firearm (exhibited),l1,yes,49,24,No,new-orleans-pd,weapon exhibited
be6dd04e8bff4efdbc9422ac8ed16e67,62d9fc702a0b00f645ed515b1c71b043,ftn2018-0372,bda86fa280b3bd50a6423e7fe0b6fd72,Completed,pedestrian stop,good,clear conditions,between 3pm-11pm,use of force justified,narcotics,6th district,,field operations bureau,firearm (exhibited),l1,yes,28,5,No,new-orleans-pd,weapon exhibited
1e627908dda6e4daf06d731626847c08,62e02c1fafd4b665e9c666f8d636f296,ftn2021-0167,f403d78235edbf13b2f750771b5f7af0,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,,2nd district,,field operations bureau,firearm (exhibited),l1,no,32,8,No,new-orleans-pd,weapon exhibited
bdd4b441dd778daca2c815e3b1c3d612,6306c4792385be41245c73c529c90b0e,ftn2020-0270,03895f43dfa504c81c4b5d0cfee90f67,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified with training,b platoon,6th district,patrol,field operations bureau,hands,l1,yes,25,4,No,new-orleans-pd,refused verbal commands
5d6fd3dc7820c747c6393ce6ff0f536a,63113e31affaf8d1f1ea28482df6ae1b,ftn2018-0316,60a58934fe3c7421b59ba17dcb9ff6f8,Completed,pedestrian stop,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,8th district,bourbon street,field operations bureau,force (escort tech),l1,yes,30,7,No,new-orleans-pd,resisted lawful arrest
de48a550d7711eb3e1886f75cf602fd8,6311a3df6a405c14cf209293cc84533d,ftn2020-0325,e011de8d34f7abfd12df3c9060d5b222,Completed,call for service,good,rainy conditions - light,between 3pm-11pm,use of force justified,2nd platoon,1st district,patrol,field operations bureau,firearm (exhibited),l1,yes,27,2,No,new-orleans-pd,refused verbal commands
77df327fdbf184073c265aed8e9a0b73,6316e6a6f0e9a8f723e2bb63abb0628f,ftn2016-0233,11ddc66f65aa0136afebcd182ae22e10,Completed,call for service,good,clear conditions,,use of force authorized,c platoon,3rd district,,field operations bureau,firearm (exhibited),l1,yes,38,7,No,new-orleans-pd,resisted lawful arrest
7dfafbf330d07e6abcf4fc3294dc2bc2,632a55bbdf3cbd21d9f773e4dd42a15a,ftn2016-0142,f6ea620aaba9c180ba3a29dbcc89ff40,Completed,call for service,good,clear conditions,,use of force authorized,2nd platoon,4th district,,field operations bureau,force (escort tech),l1,yes,30,9,No,new-orleans-pd,refused verbal commands
1e5fa66eff94c8b132ca9d88e4ad5eb3,632d5ea042814b65fd586971c9f29af7,ftn2020-0311,5a13edbbcf3577746a62ea957853c5c3,Completed,call for service,poor,clear conditions,between 11pm-7am,use of force justified,c platoon,7th district,patrol,field operations bureau,takedown (no injury),l1,yes,51,13,No,new-orleans-pd,refused verbal commands
0ad90fd9faecdfb42a5fb318a161ed7d,633062ca599a3a2f07470679dd8a080e,ftn2021-0069,bedf4fad5fb0cf668635362665ef3f5b,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,3rd district,patrol,field operations bureau,,l2,yes,32,5,Yes,new-orleans-pd,resisted lawful arrest
