uid,uof_uid,tracking_id_og,tracking_id,investigation_status,service_type,light_condition,weather_condition,shift_time,disposition,division,division_level,unit,originating_bureau,use_of_force_description,use_of_force_level,use_of_force_effective,age,years_of_service,officer_injured,agency,use_of_force_reason
1d69b3b6fb7e252ec87086d5f3266ae8,2bcb077a7df58ea6a3f90ffd04574f09,ftn2018-0044,3d0e5d13bf58012cc7cbb4dd277f9f74,Completed,arresting,good,clear conditions,between 7am-3pm,use of force authorized,,1st district,persons,field operations bureau,firearm (exhibited),l1,no,31,6,No,new-orleans-pd,refused verbal commands
7f3a64013fd482c1f22c2ee636555717,2bcd741a2f5adb07434c5c07cdac9df4,ftn2021-0366,ebd117bfce9b8c2f42a27d12298f1485,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,1st district,patrol,field operations bureau,firearm (exhibited),l1,yes,26,3,No,new-orleans-pd,felony vehicle stop
923f4beed2dc19307ca68fb6b14a8112,2bd1728dcc1abfacccb7867859f4540a,ftn2018-0058,b6d33c77c1cdb41057fcd764dc287c3a,Completed,call for service,good,clear conditions,between 7am-3pm,use of force authorized,,7th district,patrol,field operations bureau,firearm (exhibited),l1,yes,37,5,No,new-orleans-pd,other
fe00a06ee625a2415af21cb31e6f7d7f,2bd4cab5d405277de681422efe873b46,ftn2017-0401,4f6a0e4a114c48f8fe68460c68ea299f,Completed,serving a warrant,poor,clear conditions,,use of force authorized,tactical,special operations,violent offender warrant squad,field operations bureau,firearm (exhibited),l1,yes,49,19,No,new-orleans-pd,other
612afbceaab4b943be03a856bb2095c0,2bd4f06cdaae3c0c6a5a3f93c0b54128,ftn2017-0311,b4718f6b003a51f090febf3cd4dbbfeb,Completed,arresting,good,rainy conditions - light,between 7am-3pm,use of force authorized,a platoon,3rd district,,field operations bureau,conducted electrical weapon exhibited/laser,l1,yes,30,5,No,new-orleans-pd,resisted lawful arrest
c7f3c51292178bf9e8f5fd66184f41be,2bd5aa1bc833398af1f2fded68a7e202,ftn2020-0129,c5ab085b6724cafe729676fcda316011,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified with policy violation,task force,2nd district,task force a,field operations bureau,firearm (exhibited),l1,yes,38,15,No,new-orleans-pd,flight from an officer
1172332f3df2ee408e6a7c3067803da8,2be8d03b6024202dcb8a8d0933769847,ftn2017-0607,f497c76e7321f182113989cf15d4177a,Completed,arresting,good,clear conditions,between 11pm-7am,use of force justified,special victims ,8th district,sex crimes platoon 1,field operations bureau,force (escort tech),l1,yes,33,13,No,new-orleans-pd,resisted lawful arrest
bc5e83bf68bf94f0186f03b047f74678,2becc231ed90a2edba7c3c06448fe032,ftn2017-0211,d3ce4e6cabdef6a08316ec976847732e,Completed,call for service,poor,clear conditions,between 3pm-11pm,use of force authorized,2nd platoon,4th district,,field operations bureau,firearm (exhibited),l1,yes,29,6,No,new-orleans-pd,refused verbal commands
8ad0fe88f73f3cd0c7a543fa5d8f048b,2bf6eccaffaa1e0894addeb2ea39d7eb,ftn2019-0382,46a8a176da03392e9cea7b8f22dd7c21,Completed,call for service,good,clear conditions,between 11pm-7am,use of force justified,c platoon,7th district,patrol,field operations bureau,firearm (exhibited),l1,yes,28,4,No,new-orleans-pd,room clearing
f236954f77f45d01d62801a2f085c830,2c008d346e57f77bb9a7808bd2f4f173,ftn2016-0635,265fefc4ef2bd38422fb9b37eb0b3ff9,Completed,call for service,good,clear conditions,,use of force authorized,day watch,7th district,,field operations bureau,conducted electrical weapon exhibited/laser,l1,no,28,7,No,new-orleans-pd,refused verbal commands
1745c244d8de326585bdfbc165b869c9,2c1db1ea6bb82e97dbbf122a40848519,ftn2018-0047,d56d4df9338aa034dd38799a418f71c9,Completed,call for service,good,clear conditions,between 11pm-7am,use of force authorized,c platoon,6th district,patrol,field operations bureau,hands,l1,no,45,13,No,new-orleans-pd,resisted lawful arrest
2a6d5ad19555176bfdc9e142f6ccd47a,2c2d90242382cda45396e8190b0ae8ec,ftn2016-0062,daf6d3801079875d3d418e73bec9d7e0,Completed,arresting,good,other,,use of force authorized,1st platoon,4th district,,field operations bureau,hands,l1,yes,34,14,No,new-orleans-pd,resisted lawful arrest
ef732835e31b60e95a4271d905f1bfe7,2c2eadd4e4b7463f46de93ba5db2e527,ftn2019-0152,d13dd338fae14bbe5eb35af4db78dd0e,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,3rd district,patrol,field operations bureau,firearm (exhibited),l1,yes,40,9,No,new-orleans-pd,refused verbal commands
4f3e064f0856ad3c068ddff98177d96e,2c3a6b6a095395476d27ba44d3826a99,ftn2018-0143,1a37a5bd2ae19a593209a6f29c7df00b,Completed,arresting,good,clear conditions,,cancel fit ftn,,3rd district,,field operations bureau,firearm (exhibited),l1,yes,28,8,No,new-orleans-pd,resisted lawful arrest
